Callsign,Label
ART9771,virage
RYR75WX,atterrissage
FDB1782,croisiere
PGT5089,atterrissage
N6023V,procedure
EJU82VD,atterrissage
AAL1727,virage
THY6233,croisiere
JBU2136,procedure
AAY2883,croisiere
NKS745,croisiere
N107VS,procedure
LOF4767Z,atterrissage
RPA5870,procedure
JAT451,croisiere
ACA856,croisiere
MDA995,croisiere
UAE322,virage
VLG36RV,atterrissage
NKS1728,croisiere
PAL890,atterrissage
JAL307,atterrissage
FDX361,atterrissage
EDV5114,virage
JBU319,croisiere
ASQ4213,procedure
FFT1511,croisiere
DAL2339,procedure
ENY9803,croisiere
CMB183,procedure
QTR2WH,virage
AVA4846,procedure
AIC284,virage
UAL2028,procedure
N109R,procedure
VPE201,atterrissage
DAL2122,procedure
JBU669,procedure
UPS1064,virage
ARG1245,procedure
N4203P,procedure
SWA2943,procedure
N2102P,procedure
N65453,procedure
AAY1535,virage
QTR5HM,decollage
SWA5560,decollage
AAL718,decollage
SKW3345,virage
N319EP,procedure
PDT4773,virage
SKW5957,virage
FFT812,atterrissage
AAL1074,atterrissage
CAL861,decollage
LAN442,decollage
DAL262,decollage
XAX378,decollage
AIC933,decollage
UAE354,decollage
ANZ720,decollage
