Callsign,Label
ART9771,virage_croisiere
RYR75WX,virage_descente
FDB1782,croisiere
PGT5089,virage_descente
N6023V,procedure
EJU82VD,atterrissage
AAL1727,virage_descente
THY6233,monte_croisiere
JBU2136,procedure
AAY2883,croisiere
NKS745,virage_montee
N107VS,virage_descente
LOF4767Z,virage_descente
RPA5870,procedure
CXI2111,croisiere
JAT451,monte_croisiere
ACA856,decollage
MDA995,descente_croisiere
UAE322,virage_montee
VLG36RV,atterrissage
NKS1728,monte_croisiere
PAL890,virage_descente
JAL307,atterrissage
FDX361,atterrissage
EDV5114,virage_descente
JBU319,croisiere
ASQ4213,virage_descente
FFT1511,atterrissage
DAL2339,virage_descente
ENY9803,descente_croisiere
JZA105,descente_croisiere
QTR2WH,virage_montee
CMB183,virage_descente
AVA4846,virage_descente
THY162,monte_croisiere
AIC284,virage_descente
POE515,atterrissage
N1144M,procedure
UAL2028,atterrissage
AAL1730,descente_croisiere
BAW97A,croisiere
N109R,procedure
VPE201,atterrissage
DAL2122,atterrissage
JBU669,virage_montee
UPS1064,descente_croisiere
ARG1245,descente_croisiere
N4203P,procedure
SWA2943,virage_descente
QFA816,atterrissage
JIA5135,virage_descente
N2102P,procedure
AWI3840,atterrissage
DAL1579,virage_croisiere
N65453,procedure
M487LX,atterrissage
DAL1684,virage_descente
SKW3646,virage_descente
N916SP,virage_croisiere
AAY1535,virage_descente
PDT4931,procedure
UAL1603,descente_croisiere
N418DM,croisiere
N714UF,virage_descente
JIA5448,virage_descente
QTR5HM,decollage
SWA5560,decollage
AAL1978,decollage
SKW5351,virage_descente
SKW4020,virage_descente
AAL718,decollage
FDX945,croisiere
SKW3345,virage_descente
TAM3275,atterrissage
N319EP,procedure
FFT1195,decollage
SIA392,croisiere
UPS1484,croisiere
JAL622,atterrissage
SWA3108,virage_descente
SWA4271,virage_descente
JBU598,virage_descente
PDT4773,atterrissage
ABX1091,atterrissage
RPA4428,virage_descente
N222LX,atterrissage
SKW5957,virage_descente
FFT812,atterrissage
DAL814,croisiere
ASA727,monte_croisiere
EDG209,descente_croisiere
AAL1074,virage_descente
AAL1375,descente_croisiere
N955MC,descente_croisiere
UAL1865,procedure
DAL2154,procedure
N238MB,monte_croisiere
FDX328,virage_croisiere
EJA939,croisiere
SJE500,atterrissage
SWA2661,virage_croisiere
SWA608,descente_croisiere
BTK6856,descente_croisiere
JBU514,virage_descente
VLG19BV,atterrissage
N28PH,croisiere
ABW776,atterrissage
DAL1882,atterrissage
NAA6067,atterrissage
UAL2346,atterrissage
UAL467,croisiere
ACA798,procedure
ERN102,procedure
DAL2520,procedure
N849EF,procedure
N328NA,virage_descente
XOJ548,croisiere
UAE26,virage_croisiere
DAL2742,descente_croisiere
AAL1692,atterrissage
DAL2708,atterrissage
EJA756,atterrissage
AAL294,procedure
RPA3435,croisiere
CAL861,decollage
N250KC,croisiere
ENY3868,descente_croisiere
ENY4195,monte_croisiere
DAL8948,virage_croisiere
LAN705,croisiere
LLM90,croisiere
CTV010,procedure
UAE223,virage_croisiere
JAL688,atterrissage
SWA1194,virage_descente
N381TT,virage_descente
MSR910,atterrissage
SWA4493,virage_descente
MXD242,procedure
IGO011,decollage
IBE6827,monte_croisiere
ROU1656,croisiere
GLO1575,procedure
TAM4515,procedure
QJE1545,virage_descente
ENY3753,descente_croisiere
SIY,descente_croisiere
N1818,atterrissage
PDT4879,atterrissage
UAL2254,descente_croisiere
ENY3825,atterrissage
SWA4465,monte_croisiere
QTR730,monte_croisiere
SRR6402,atterrissage
DAL699,descente_croisiere
TAM3955,virage_descente
NKS251,virage_descente
FFT2027,decollage
ROU1527,atterrissage
AAL883,virage_descente
RPA6122,descente_croisiere
SWA6053,atterrissage
N266AT,atterrissage
N608AB,atterrissage
N736MB,croisiere
DAL1748,croisiere
DAL1223,procedure
EDV5184,procedure
NRS5PY,atterrissage
MSR986,decollage
UAL2104,descente_croisiere
SWA6034,virage_descente
PDT4844,virage_descente
ASA435,procedure
MDA763,descente_croisiere
THY730,monte_croisiere
N221BW,atterrissage
VOZ2503,croisiere
N620GB,descente_croisiere
DAL2248,virage_descente
WJA338,decollage
JSX303,procedure
WEN3485,monte_croisiere
N805KK,descente_croisiere
RWZ407,virage_croisiere
UAL360,atterrissage
AAV701,descente_croisiere
EZY28UB,atterrissage
GOW302,descente_croisiere
SWA5527,descente_croisiere
CES577,atterrissage
N975LV,atterrissage
AFL1166,croisiere
JBU9,atterrissage
RYR959,atterrissage
PDT4918,atterrissage
RPA5900,atterrissage
YUPNK,descente_croisiere
APJ503,virage_montee
DAL2047,procedure
3372,procedure
UPS474,descente_croisiere
N1TM,virage_croisiere
DAL540,virage_croisiere
JBU623,croisiere
AAL1327,atterrissage
PDT4981,atterrissage
EJA200,monte_croisiere
LAN442,decollage
SKW3214,atterrissage
SWA935,decollage
EDV5232,descente_croisiere
UAL709,procedure
EDV4796,croisiere
AAL2652,croisiere
FDX781,croisiere
JL11,croisiere
N9151H,procedure
UAL2378,procedure
CLX45B,atterrissage
SWA353,croisiere
RYR5MD,atterrissage
ALK218,atterrissage
AAL2554,decollage
DAL1218,monte_croisiere
QTR242,procedure
UPS1438,virage_croisiere
UAL473,atterrissage
GAJ864,atterrissage
SWA1570,procedure
EDV5208,atterrissage
JST563,croisiere
TVS1286,croisiere
WJA1117,virage_descente
ENT32FX,atterrissage
EDW90,monte_croisiere
UAL630,procedure
TWB161,virage_croisiere
RLK476,descente_croisiere
UPS890,croisiere
AAL816,virage_descente
QXE2191,atterrissage
KAL902,virage_croisiere
FDX3739,monte_croisiere
ANZ675,decollage
CKS345,procedure
WZZ4VL,descente_croisiere
DAL2757,atterrissage
UAE20,virage_croisiere
XAX378,decollage
ARG1248,descente_croisiere
DAL859,procedure
ARG1538,descente_croisiere
NOS7087,descente_croisiere
AHO858W,atterrissage
DAL1556,decollage
JBU772,procedure
JTL856,virage_croisiere
UAL1815,procedure
ASH6216,atterrissage
AIC019,monte_croisiere
QTR892,virage_montee
TSC561,procedure
UAL1402,procedure
SWA1253,atterrissage
LOF4650,procedure
QLK3D,atterrissage
SKW5223,descente_croisiere
N173WJ,descente_croisiere
YMV,procedure
ASA783,virage_montee
IAD791,decollage
CHX88,atterrissage
ACA2015,atterrissage
N4139B,procedure
SWA1176,descente_croisiere
PDT4982,procedure
AIJ2820,croisiere
SKW5573,croisiere
BCS994,descente_croisiere
UPS1452,virage_croisiere
NKS1735,monte_croisiere
RPA3456,procedure
BAW81V,virage_croisiere
TAM3405,croisiere
N16688,atterrissage
ANZ720,decollage
DAL633,croisiere
SAS926,croisiere
ENY3916,atterrissage
JAL640,atterrissage
SWA5013,virage_descente
EDV4887,procedure
N608DB,croisiere
FDX3711,atterrissage
CTV9020,procedure
UAE354,decollage
JAL661E,descente_croisiere
EDV4790,atterrissage
EJA545,atterrissage
DAL757,virage_descente
NKS627,virage_descente
LNE1405,monte_croisiere
ENY3627,descente_croisiere
WJA1516,procedure
ALK504,virage_montee
AAL1491,atterrissage
AIC933,decollage
JBU1523,virage_descente
GJS4501,procedure
FIN131,virage_croisiere
AAL2819,atterrissage
UCA4909,procedure
JIA5020,atterrissage
SKW3974,procedure
AWI3836,virage_descente
SIA423,procedure
DAL1393,atterrissage
ASH6049,atterrissage
JST702,procedure
SWA2631,atterrissage
GLO1527,procedure
SWA5852,decollage
NKS955,virage_croisiere
AAR602,monte_croisiere
N2137E,descente_croisiere
ASH6130,descente_croisiere
JTA11,croisiere
EJA562,procedure
AAL100,descente_croisiere
ASA3,croisiere
ASH5995,descente_croisiere
MAS8027,croisiere
DHK855,procedure
N146XL,descente_croisiere
VJC120,descente_croisiere
DAL1559,croisiere
AAY10,monte_croisiere
ASH6069,croisiere
RPA4431,virage_descente
UPS2996,croisiere
QTR3HN,monte_croisiere
AAL1775,atterrissage
ATN3715,croisiere
DAL1181,decollage
JAF3BV,atterrissage
AFL2513,descente_croisiere
VOZ1210,virage_descente
AWI3931,atterrissage
ARG1256,atterrissage
ASL90X,decollage
UPS2572,descente_croisiere
BTQ326,atterrissage
POE616,atterrissage
VOZ1687,atterrissage
ROU1645,procedure
SWA1114,atterrissage
UAL719,monte_croisiere
SKW5807,atterrissage
FDX3713,croisiere
EDV5186,procedure
SWA755,procedure
SWA3959,croisiere
ANA692,atterrissage
RPA4528,procedure
UPS2878,descente_croisiere
AAY2870,atterrissage
BAW157,croisiere
ABD5250,croisiere
AAL2633,atterrissage
JST097,croisiere
JBU445,virage_descente
SYB088,procedure
JSA817,decollage
CQH6287,monte_croisiere
ASA285,atterrissage
AUA90,croisiere
2374,atterrissage
GAJ865,atterrissage
CAL5321,procedure
RPA5957,procedure
N5625Q,atterrissage
SKV7685,monte_croisiere
DPJ26,atterrissage
IGO6186,descente_croisiere
UPS1414,atterrissage
SWA2708,descente_croisiere
TRA76P,procedure
SWA3866,descente_croisiere
AAL436,virage_montee
ATN3724,croisiere
FDX723,virage_croisiere
VOZ1184,atterrissage
PDT4914,descente_croisiere
EZY8818,atterrissage
1054,atterrissage
UPS2432,procedure
UAL1409,atterrissage
TUI755,atterrissage
JBU391,decollage
SWA886,atterrissage
WZZ2LT,descente_croisiere
JBU405,croisiere
WJA1512,procedure
EJU38RT,descente_croisiere
DAL1299,procedure
ASA1232,atterrissage
SVA830,croisiere
DAL830,descente_croisiere
SWG608,croisiere
AZA769,virage_croisiere
SKW4325,procedure
EDV4913,atterrissage
N5BM,procedure
QFA880,descente_croisiere
THY8LE,virage_croisiere
N4125G,procedure
RPA4395,atterrissage
AAL2712,atterrissage
AAV601,virage_croisiere
SCX502,atterrissage
ELY2374,virage_croisiere
HVN7208,atterrissage
RXA317,procedure
UPS2392,descente_croisiere
AAL639,atterrissage
N761QS,procedure
EDV5504,atterrissage
SVA590,procedure
N765FL,atterrissage
CES2818,decollage
VOZ321,descente_croisiere
N354EF,atterrissage
DAL2173,descente_croisiere
N35246,descente_croisiere
NKS656,virage_descente
N19806,procedure
CNK645,atterrissage
GTI8747,atterrissage
SFJ74,procedure
UAL1885,croisiere
N800BB,descente_croisiere
DAL568,atterrissage
DAL2059,virage_croisiere
CHH7710,virage_montee
AAL215,decollage
N445CR,croisiere
RCH723,virage_croisiere
AAL2357,atterrissage
WSW822,monte_croisiere
UAL468,procedure
JAL3082,descente_croisiere
DLH755,croisiere
CTV910,descente_croisiere
MSQT246,procedure
KLM891,croisiere
UAL821,croisiere
DAL1792,procedure
NKS1167,atterrissage
SWA5579,procedure
N727MZ,procedure
SMC,decollage
ACA959,procedure
SKW5453,procedure
DAL673,decollage
AFR442,croisiere
N8409Y,virage_descente
UPS586,croisiere
N1258B,procedure
UPS1435,croisiere
N21331,atterrissage
AAL1919,virage_croisiere
UAL2429,virage_montee
N72695,procedure
SWA38,procedure
UPS1492,virage_descente
THY599,virage_croisiere
CAP4228,atterrissage
AAL991,descente_croisiere
TGG552,descente_croisiere
ASH6149,descente_croisiere
SOO098,virage_montee
FFT1038,procedure
ANZ1216,atterrissage
CCA938,virage_croisiere
N337WR,atterrissage
AVA247,descente_croisiere
NZM70,atterrissage
MAS361,atterrissage
AAY963,procedure
AAL1649,descente_croisiere
GIA719,croisiere
KAL1205,decollage
THY4EZ,atterrissage
ASA67,monte_croisiere
AAL2257,virage_montee
N427DL,procedure
SKW5045,atterrissage
SKW3082,procedure
EIN11EA,virage_montee
CPZ5712,atterrissage
SKW5542,atterrissage
UAL2027,monte_croisiere
DAL1125,virage_montee
GTH24,procedure
DAL1674,procedure
AAL232,atterrissage
WJA476,atterrissage
N5808B,virage_descente
N537TT,atterrissage
ASA1122,atterrissage
QTR2RE,virage_montee
AAL165,croisiere
DAL919,atterrissage
ZKDMW,atterrissage
KKK1220,virage_descente
AZU5814,croisiere
N64BF,procedure
SWG648,croisiere
ELY288,virage_descente
ASH5729,procedure
AAL2312,atterrissage
THY066,croisiere
AAL897,decollage
UAL561,atterrissage
SWA2780,croisiere
